,bsr_best,sd_price,sd_list_price,sd_previous_price,sd_number_bought_past_month,sd_average_rating,sd_total_reviews,sd_ratings_count,sd_stars,sd_rating_pct_1,sd_rating_pct_2,sd_rating_pct_3,sd_rating_pct_4,sd_rating_pct_5
6479,,14.99,14.99,,,5.0,2.0,,,0.0,0.0,0.0,0.0,100.0
6481,14.0,9.99,9.99,9.99,2000000.0,4.6,,,,3.0,1.0,4.0,13.0,79.0
6482,517.0,29.95,29.95,29.95,,4.2,122.0,122.0,4.2,7.0,3.0,13.0,17.0,60.0
6483,,,,,,4.8,125.0,,,3.0,0.0,1.0,7.0,89.0
6484,,,12.99,,,5.0,8.0,,,,,,,
6485,1106.0,25.99,25.99,,,,18.0,18.0,,,,14.0,11.0,
6486,1523.0,,,,,,,,,,,,,
6487,634.0,,,,,,,,,,,,,
6489,826.0,,,,100000000.0,3.7,113.0,,,,,,,
6490,392.0,,,,,4.6,1020.0,1020.0,4.6,4.0,1.0,4.0,10.0,81.0
6491,332.0,74.99,74.99,74.44,,4.0,807.0,807.0,4.0,15.0,5.0,7.0,13.0,60.0
6492,,46.98,46.98,,,,5.0,,,,,,,
6493,2046.0,22.0,22.0,28.5,,4.5,,,4.5,2.0,2.0,6.0,17.0,73.0
6494,762.0,215.99,215.99,,50000000.0,4.4,34.0,34.0,4.4,5.0,5.0,6.0,6.0,78.0
6495,,8.9,8.9,,,4.3,22.0,,,9.0,0.0,8.0,16.0,67.0
6496,,19.89,19.89,,,5.0,2.0,,,,,,,
6497,,,184.28,,,,,,,0.0,0.0,0.0,0.0,
6498,1588.0,,,,,,,,,,,,,
6499,,,,,,4.4,690.0,,,,,,,
6500,73.0,,,,1000000.0,,,,,,,,,
6501,1016.0,,,,,,,,,,,,,
6502,1774.0,25.55,25.55,26.99,,4.1,4.0,4.0,4.1,0.0,,0.0,0.0,70.0
6503,732.0,,11.99,,,,8.0,,,,,0.0,15.0,
6504,652.0,9.99,9.99,12.95,100000000.0,4.4,640.0,640.0,4.4,6.0,3.0,6.0,10.0,75.0
6505,,77.5,77.5,,,3.9,124.0,124.0,3.9,10.0,9.0,13.0,16.0,52.0
6506,310.0,109.99,109.99,129.99,50000000.0,4.4,145.0,145.0,4.4,9.0,2.0,4.0,12.0,73.0
6507,,7.99,7.99,,,4.2,6.0,,,0.0,0.0,,,45.0
6508,96.0,,14.99,,,,6.0,,,,,,,
6509,228.0,,,,,4.0,7.0,7.0,4.0,0.0,,0.0,10.0,62.0
6510,536.0,59.0,59.0,59.0,50000000.0,3.7,335.0,335.0,3.7,19.0,8.0,9.0,14.0,50.0
6512,948.0,27.99,27.99,,,4.5,6.0,6.0,4.5,0.0,0.0,,0.0,75.0
6513,,,14.9,,,5.0,5.0,,,0.0,0.0,0.0,0.0,100.0
6514,307.0,19.99,19.99,21.99,,4.3,246.0,,,,,,,
6515,,,,,,4.4,4.0,,,0.0,0.0,0.0,,42.0
6516,,,8.95,,,,,,,0.0,0.0,0.0,0.0,
6517,396.0,101.99,101.99,,50000000.0,3.9,83.0,83.0,3.9,13.0,4.0,13.0,20.0,50.0
6518,,40.17,40.17,,,4.5,31.0,,,0.0,0.0,10.0,,60.0
6519,836.0,,26.0,,,5.0,3.0,,,,,,,
6520,704.0,,,,,,,,,,,,,
6521,512.0,39.99,39.99,49.99,50000000.0,,10.0,10.0,,,0.0,0.0,15.0,39.0
6522,1680.0,6.7,6.7,,,,8.0,,,,0.0,,18.0,
6523,2208.0,44.84,44.84,,,4.7,5.0,,,0.0,0.0,0.0,,73.0
6524,1059.0,,20.0,,,4.8,11.0,,,0.0,0.0,0.0,22.0,78.0
6525,389.0,5.99,5.99,,,4.5,548.0,548.0,4.5,2.0,3.0,7.0,13.0,75.0
6526,1096.0,,,,,,,,,,,,,
6527,669.0,,,,,4.0,6.0,6.0,4.0,0.0,,0.0,18.0,57.0
6528,157.0,,11.99,,,4.7,71.0,,,0.0,0.0,3.0,,71.0
6529,976.0,109.99,109.99,,,4.0,78.0,78.0,4.0,12.0,5.0,8.0,17.0,58.0
6530,614.0,14.99,14.99,,,,3.0,3.0,,,0.0,0.0,0.0,56.0
6531,450.0,,13.95,,,4.7,51.0,,,0.0,7.0,3.0,4.0,86.0
6532,,10.59,10.59,,,,,,,0.0,0.0,0.0,0.0,
6533,712.0,,,,,4.6,58.0,58.0,4.6,4.0,2.0,3.0,5.0,86.0
6534,342.0,18.99,18.99,,,4.5,9.0,,,0.0,0.0,17.0,14.0,69.0
6535,377.0,93.99,93.99,144.89,100000000.0,4.2,68.0,68.0,4.2,8.0,8.0,9.0,9.0,66.0
6536,1160.0,54.99,54.99,,,4.4,43.0,,,,,,,
6537,,,,,,4.7,6.0,,,0.0,0.0,0.0,,67.0
6538,77.0,,,,,4.6,243.0,243.0,4.6,2.0,1.0,6.0,15.0,76.0
6540,203.0,106.0,106.0,99.99,100000000.0,3.9,105.0,105.0,3.9,19.0,1.0,7.0,10.0,63.0
6542,182.0,133.59,133.59,157.0,200000000.0,3.9,649.0,649.0,3.9,18.0,3.0,6.0,15.0,58.0
6543,86.0,148.0,148.0,167.99,100000000.0,3.9,1326.0,1326.0,3.9,18.0,4.0,6.0,12.0,60.0
6544,343.0,6.85,6.85,,,,,,,0.0,0.0,0.0,0.0,
6545,,,,,,4.6,3.0,,,,,,,
6546,,,9.95,,,,,,,0.0,0.0,0.0,0.0,
6547,69.0,,,,50000000.0,4.6,153.0,153.0,4.6,2.0,3.0,6.0,10.0,79.0
6548,,3.44,3.44,,,,,,,,,,,
6549,478.0,,,,,3.5,182.0,,,,,,,
6550,1126.0,29.99,29.99,,,,8.0,8.0,,,,,17.0,
6551,706.0,17.99,17.99,18.99,200000000.0,4.5,1064.0,,,,,,,
6552,,,4.69,,,4.1,6.0,,,0.0,0.0,,20.0,46.0
6553,139.0,17.99,17.99,,,4.6,7.0,,,0.0,0.0,0.0,,56.0
6554,,,6.99,,,3.6,111.0,,,9.0,,,23.0,36.0
6555,1587.0,,,,,,,,,,,,,
6556,3.0,199.99,199.99,199.99,5000000.0,4.2,1977.0,1977.0,4.2,10.0,3.0,6.0,16.0,65.0
6557,100.0,11.95,11.95,15.95,300000000.0,4.5,474.0,,,,,,,
6558,,,13.99,,,4.3,13.0,,,0.0,0.0,,23.0,52.0
6559,1490.0,,59.7,,,,,,,0.0,0.0,0.0,0.0,
6560,178.0,55.99,55.99,,50000000.0,4.1,179.0,179.0,4.1,13.0,4.0,7.0,13.0,63.0
6561,6.0,,,,200000000.0,4.5,2821.0,2821.0,4.5,7.0,1.0,2.0,9.0,81.0
6562,85.0,,,,300000000.0,4.4,386.0,386.0,4.4,7.0,2.0,5.0,17.0,69.0
6563,10.0,109.91,109.91,,2000000.0,4.0,1617.0,1617.0,4.0,17.0,3.0,4.0,11.0,65.0
6564,15.0,,,,1000000.0,4.4,533.0,533.0,4.4,7.0,3.0,5.0,13.0,72.0
6565,255.0,,,,50000000.0,,,,,,,,,
6566,289.0,,,,100000000.0,,,,,,,,,
6567,96.0,,,,200000000.0,,,,,,,,,
6568,1789.0,,,,,,3.0,3.0,,,0.0,,0.0,33.0
6569,506.0,94.99,94.99,,,4.1,819.0,,,,,,,
6570,187.0,48.99,48.99,,50000000.0,3.6,41.0,41.0,3.6,,0.0,7.0,4.0,58.0
6571,1878.0,49.99,49.99,,,3.8,8.0,8.0,3.8,,0.0,0.0,21.0,56.0
6572,131.0,,,,,4.5,848.0,848.0,4.5,6.0,2.0,3.0,12.0,77.0
6573,45.0,,,,,4.2,1795.0,1795.0,4.2,13.0,3.0,4.0,10.0,70.0
6574,166.0,,,,200000000.0,,,,,,,,,
6575,1277.0,,,,,4.9,23.0,23.0,4.9,0.0,0.0,0.0,6.0,94.0
6576,39.0,205.99,205.99,214.44,,4.0,,,4.0,15.0,4.0,7.0,12.0,62.0
6578,51.0,115.5,115.5,,,4.1,826.0,826.0,4.1,12.0,2.0,8.0,14.0,64.0
6579,345.0,89.99,89.99,94.99,,3.9,65.0,65.0,3.9,17.0,0.0,5.0,,51.0
6580,71.0,,,,100000000.0,4.3,31.0,,,,,,,
6581,,,47.19,,,,,,,0.0,0.0,0.0,0.0,
6582,456.0,94.99,94.99,99.99,,,20.0,20.0,,,8.0,8.0,,
6583,102.0,169.99,169.99,,200000000.0,4.1,2306.0,2306.0,4.1,13.0,3.0,6.0,12.0,66.0
6584,124.0,,,,,4.2,2002.0,,,,,,,
6585,1560.0,,,,,,,,,,,,,
6586,297.0,,,,,4.2,,,4.2,10.0,3.0,5.0,14.0,68.0
6587,16.0,154.99,154.99,169.02,1000000.0,3.9,,,,,,,,
6588,509.0,159.99,159.99,,,4.3,113.0,113.0,4.3,6.0,6.0,7.0,9.0,72.0
6590,289.0,,,,,4.0,2.0,2.0,4.0,0.0,0.0,,0.0,50.0
6591,420.0,48.99,48.99,,,,152.0,152.0,,,9.0,4.0,4.0,44.0
6592,202.0,169.0,169.0,188.44,100000000.0,4.0,1014.0,,,,,,,
6593,152.0,67.99,67.99,,200000000.0,3.8,1313.0,,,,,,,
6595,418.0,,,,100000000.0,4.3,47.0,47.0,4.3,9.0,0.0,3.0,21.0,67.0
6597,2541.0,,,,,4.4,628.0,628.0,4.4,6.0,3.0,6.0,13.0,72.0
6598,457.0,,,,,,4.0,,,,,,,
6599,700.0,,,,,,,,,,,,,
6600,2019.0,,,,,4.1,5.0,,,,,,,
6601,552.0,78.99,78.99,,100000000.0,3.9,19.0,19.0,3.9,16.0,0.0,,0.0,61.0
6602,2150.0,59.99,59.99,,,3.4,141.0,,,,,,,
6603,134.0,224.99,224.99,224.99,400000000.0,4.4,446.0,446.0,4.4,6.0,3.0,4.0,13.0,74.0
6604,,,,,,4.4,798.0,798.0,4.4,6.0,2.0,7.0,17.0,68.0
6605,209.0,93.99,93.99,109.99,100000000.0,4.0,347.0,347.0,4.0,15.0,2.0,7.0,15.0,61.0
6606,302.0,,,,,4.2,25.0,25.0,4.2,3.0,4.0,,18.0,55.0
6607,76.0,109.95,109.95,,,4.1,1083.0,1083.0,4.1,13.0,3.0,7.0,12.0,65.0
6608,1812.0,139.99,139.99,179.99,,4.4,46.0,,,,,,,
6609,543.0,,,,50000000.0,,,,,,,,,
6611,354.0,78.0,78.0,149.99,50000000.0,3.8,200.0,200.0,3.8,19.0,4.0,6.0,15.0,56.0
6612,46.0,,,,100000000.0,4.3,742.0,742.0,4.3,11.0,2.0,5.0,10.0,72.0
6613,197.0,154.99,154.99,,200000000.0,4.1,1483.0,1483.0,4.1,10.0,4.0,8.0,15.0,63.0
6614,308.0,,,,50000000.0,4.2,1696.0,1696.0,4.2,9.0,4.0,6.0,13.0,68.0
6615,2384.0,,,,,3.4,19.0,19.0,3.4,17.0,,9.0,20.0,39.0
6616,482.0,89.99,89.99,219.0,50000000.0,3.5,212.0,212.0,3.5,,6.0,7.0,15.0,48.0
6617,375.0,,,,,,,,,,,,,
6618,261.0,109.99,109.99,,200000000.0,4.1,396.0,396.0,4.1,11.0,4.0,8.0,13.0,64.0
6619,113.0,,,,300000000.0,4.2,38.0,38.0,4.2,9.0,6.0,6.0,8.0,71.0
6620,332.0,,,,,,,,,,,,,
6621,301.0,,,,100000000.0,,,,,,,,,
6623,496.0,,,,,,,,,,,,,
6624,1730.0,99.99,99.99,,,4.0,163.0,163.0,4.0,15.0,4.0,6.0,17.0,58.0
6625,237.0,106.19,106.19,,200000000.0,4.5,56.0,56.0,4.5,5.0,1.0,3.0,17.0,74.0
6626,71.0,170.95,170.95,,50000000.0,4.1,,,4.1,13.0,3.0,6.0,13.0,65.0
6627,619.0,74.99,74.99,,50000000.0,3.8,84.0,,,,,,,
6628,80.0,139.5,139.5,,50000000.0,4.1,131.0,,,,,,,
6629,1621.0,,,,,,,,,,,,,
6630,328.0,99.74,99.74,149.99,50000000.0,3.8,84.0,84.0,3.8,20.0,3.0,6.0,16.0,55.0
6631,890.0,66.99,66.99,66.99,,3.4,4.0,4.0,3.4,,0.0,,0.0,47.0
6632,333.0,,,,100000000.0,,,,,,,,,
6633,579.0,,,,50000000.0,4.3,1289.0,1289.0,4.3,8.0,2.0,5.0,15.0,70.0
6634,207.0,112.0,112.0,112.0,100000000.0,3.8,907.0,907.0,3.8,18.0,3.0,8.0,16.0,55.0
6635,253.0,,,,100000000.0,,,,,,,,,
6636,462.0,,,,50000000.0,,,,,,,,,
6637,1392.0,79.88,79.88,,,,8.0,,,,,,,
6638,2364.0,,,,,4.1,2.0,2.0,4.1,0.0,0.0,,0.0,54.0
6640,1779.0,,,,,4.2,121.0,,,,,,,
6641,115.0,79.99,79.99,109.99,100000000.0,4.0,176.0,176.0,4.0,10.0,9.0,11.0,13.0,57.0
6642,1121.0,49.99,49.99,,,3.5,7.0,,,,,,,
6643,849.0,106.99,106.99,129.99,,3.8,245.0,245.0,3.8,14.0,4.0,12.0,22.0,48.0
6645,1581.0,,,,,,,,,,,,,
6646,99.0,,,,50000000.0,,,,,,,,,
