BSR_Group,Target,Feature_Set,Model,CV_ROC_AUC_Mean,CV_ROC_AUC_Std,Train_Accuracy,Test_Accuracy,Train_F1,Test_F1,Train_ROC_AUC,Test_ROC_AUC,Test_Precision,Test_Recall,N_Samples,N_Features,Class_Balance
Baby,has_main_bsr,Top Features,XGBoost,0.9419289352473375,0.004966336533979593,0.9480939048029291,0.8906115417743324,0.9496973491964099,0.8937238493723849,0.9883021404017767,0.9568134607395098,0.8682926829268293,0.9206896551724137,5804,20,0.5
Baby,has_main_bsr,Top Features,RandomForest,0.9379688758582333,0.006740701394500309,0.9474477708378204,0.8811369509043928,0.9494824016563147,0.885,0.9933712005242922,0.9485637129799989,0.8564516129032258,0.9155172413793103,5804,20,0.5
"Clothing, Shoes & Jewelry",has_main_bsr,Top Features,LogisticRegression,0.8054300029821541,0.006048362569257146,0.7651869158878505,0.7792056074766355,0.7766666666666666,0.7874015748031497,0.8090850592846537,0.8239420473403789,0.7592190889370932,0.8177570093457944,4280,20,0.5
"Clothing, Shoes & Jewelry",has_main_bsr,Top Features,XGBoost,0.847039746001436,0.010438563736298933,0.8907710280373832,0.8130841121495327,0.8990825688073395,0.8253275109170306,0.974649805659883,0.8678923923486769,0.7745901639344263,0.883177570093458,4280,20,0.5
"Clothing, Shoes & Jewelry",has_main_bsr,Top Features,RandomForest,0.8502462595203847,0.007562372620518315,0.8939836448598131,0.8095794392523364,0.9032258064516129,0.8252947481243301,0.980160999323085,0.8669589047078348,0.7623762376237624,0.8995327102803738,4280,20,0.5
Kitchen & Dining,has_main_bsr,Top Features,LogisticRegression,0.9258730094869936,0.008188138929856134,0.8875632682574114,0.8815028901734104,0.8917507831534981,0.8857938718662952,0.9285215735542998,0.9252564402419058,0.8548387096774194,0.9190751445086706,3458,20,0.5
Kitchen & Dining,has_main_bsr,Top Features,XGBoost,0.9615482950440484,0.0070492273788154295,0.9833694866232827,0.9176300578034682,0.9836298932384342,0.9191489361702128,0.9993720881962515,0.9654014500985666,0.9025069637883009,0.9364161849710982,3458,20,0.5
Kitchen & Dining,has_main_bsr,Top Features,RandomForest,0.9601186823340797,0.0036234983306411544,0.9631236442516269,0.9176300578034682,0.9644351464435147,0.9213793103448276,0.994824563742459,0.9553944334925991,0.8812664907651715,0.9653179190751445,3458,20,0.5
Electronics,has_main_bsr,Top Features,LogisticRegression,0.9838301454154935,0.006903920053037189,0.9500952380952381,0.943683409436834,0.9505473763684409,0.9445277361319341,0.98588981201122,0.9770553784565201,0.9292035398230089,0.9603658536585366,3282,20,0.5
Electronics,has_main_bsr,Top Features,XGBoost,0.9894464923228746,0.006401049216048834,0.9980952380952381,0.9512937595129376,0.9980995819080197,0.9523809523809523,0.9999936145115449,0.9872952034991473,0.9302325581395349,0.975609756097561,3282,20,0.5
Electronics,has_main_bsr,Top Features,RandomForest,0.9882651728441644,0.006951390677701883,0.9904761904761905,0.9467275494672754,0.990569596378725,0.9478390461997019,0.9995112198837144,0.9820594558529172,0.9271137026239067,0.9695121951219512,3282,20,0.5
Cell Phones & Accessories,has_main_bsr,Top Features,LogisticRegression,0.9868349970640047,0.005124791364342564,0.960919540229885,0.9602446483180428,0.9613928841786525,0.9604863221884499,0.9893835906011894,0.984138859793506,0.9518072289156626,0.9693251533742331,1632,20,0.5
