BSR_Group,Target,Feature_Set,Model,Model_Type,CV_R2_Mean,CV_R2_Std,Train_R2,Test_R2,Test_RMSE,Test_MAE,N_Samples,N_Features
Electronics,Main BSR,Top Features,XGBoost,nonlinear,0.08701997085308869,0.04500726173279844,0.9037465272740819,0.12677513439222088,1.6344337765768184,1.2986993520258274,1641,20
Electronics,Main BSR,Top Features,LightGBM,nonlinear,0.07119500918785075,0.061479323711868684,0.9086401468678302,0.10277435467891782,1.6567429107838956,1.2863453301385213,1641,20
Cell Phones & Accessories,Main BSR,Top Features,Linear Regression,linear,0.027843065289100168,0.07628976957823091,0.09094776009256011,0.05182367637136365,1.5017459780757663,1.1292968683951325,816,20
Cell Phones & Accessories,Main BSR,Top Features,Ridge,linear,0.028419786324047867,0.07588730380948518,0.09088304214748344,0.05107633693215796,1.5023376891890619,1.1301868998148203,816,20
Cell Phones & Accessories,Main BSR,Top Features,Random Forest,nonlinear,0.09559907454509278,0.05347507349308007,0.7707214632991742,0.07943531124203607,1.4797184206401712,1.1344153881662429,816,20
Cell Phones & Accessories,Main BSR,Top Features,XGBoost,nonlinear,0.0509476779004403,0.07360315494067857,0.9783443455809346,-0.0168541434199998,1.555182123601757,1.2046579995960793,816,20
Cell Phones & Accessories,Main BSR,Top Features,LightGBM,nonlinear,0.013520086372592633,0.06424991502644678,0.9582247054027939,-0.03953446994751042,1.5724301829506426,1.2206558212043621,816,20
Tools & Home Improvement,Main BSR,Top Features,Linear Regression,linear,-0.03428120233403973,0.03414724090331446,0.09331472469167523,-0.05326612670564468,1.9034629509420424,1.528044613243121,557,20
Tools & Home Improvement,Main BSR,Top Features,Ridge,linear,-0.03215727347022612,0.03367011554804951,0.09327537488091264,-0.05327453951210792,1.9034705527404077,1.5284079690361025,557,20
Tools & Home Improvement,Main BSR,Top Features,Random Forest,nonlinear,0.029639995582326994,0.04031370464815639,0.7670794870014909,0.04048366884444066,1.816776714273277,1.5115285098202218,557,20
Tools & Home Improvement,Main BSR,Top Features,XGBoost,nonlinear,-0.07916751567374707,0.13477098022391024,0.9876848589684418,-0.012691285917856288,1.8664394523193664,1.5264587608383822,557,20
Tools & Home Improvement,Main BSR,Top Features,LightGBM,nonlinear,-0.11518696878674653,0.16545863416808515,0.9422287129340476,-0.0638721976106571,1.9130225932644374,1.5580580125132089,557,20
Video Games,Main BSR,Top Features,Linear Regression,linear,0.048666977309517724,0.11320115550149473,0.1546819715322315,0.13186615755765885,1.4928425636844516,1.1826034248192137,524,20
Video Games,Main BSR,Top Features,Ridge,linear,0.05090030379384165,0.11134255744748188,0.15466428522996511,0.13258782991354967,1.492221940949268,1.1822669235677954,524,20
Video Games,Main BSR,Top Features,Random Forest,nonlinear,0.06216095390318188,0.11562402175190217,0.7781773712358946,0.10650339258117847,1.5144924746492072,1.1593068207473463,524,20
Video Games,Main BSR,Top Features,XGBoost,nonlinear,-0.006896565731130866,0.11566449568519546,0.9891246232151818,0.0716682945475412,1.5437332464865383,1.1837580898253761,524,20
Video Games,Main BSR,Top Features,LightGBM,nonlinear,-0.09280263273181488,0.1771241251834294,0.9370917829452343,0.04875178372951128,1.5626711471450174,1.200390929097041,524,20
Pet Supplies,Main BSR,Top Features,Linear Regression,linear,0.02614880299402882,0.07109950502118437,0.16368699809289422,0.036891341871989836,1.3793266323383526,1.0533430142907398,490,20
Pet Supplies,Main BSR,Top Features,Ridge,linear,0.029633176032885178,0.07142061881529058,0.16354667960742342,0.04077002517118522,1.3765463808969598,1.0517603600787777,490,20
Pet Supplies,Main BSR,Top Features,Random Forest,nonlinear,0.07555944564834063,0.042828130708484076,0.7786428596751771,0.06457529390551697,1.3593581529012488,0.9979405942116387,490,20
Pet Supplies,Main BSR,Top Features,XGBoost,nonlinear,0.01670748673693574,0.07961763889400154,0.995178958752133,0.0832151860288598,1.3457462664666653,0.9934611486540476,490,20
Pet Supplies,Main BSR,Top Features,LightGBM,nonlinear,-0.05636786052163554,0.0920661516913629,0.9457239246816915,0.0770777189640568,1.3502433392606528,0.9618172516696728,490,20
Sports & Outdoors,Main BSR,Top Features,Linear Regression,linear,0.034590575191313366,0.17433258474722016,0.19767166450426255,0.2631326996115706,1.9737137370481026,1.658927376296832,433,20
Sports & Outdoors,Main BSR,Top Features,Ridge,linear,0.037348148782545686,0.17524396263514763,0.1975638414631269,0.2661453048386794,1.9696749432283551,1.6531853911890149,433,20
Sports & Outdoors,Main BSR,Top Features,Random Forest,nonlinear,0.18834079726312253,0.12421122486855081,0.8124794492681077,0.3147173210016935,1.903375167710633,1.5436487233378005,433,20
Sports & Outdoors,Main BSR,Top Features,XGBoost,nonlinear,0.12145915962962106,0.1500947579179869,0.9965165157498964,0.36445819437828364,1.8329962789691363,1.4976281623032552,433,20
Sports & Outdoors,Main BSR,Top Features,LightGBM,nonlinear,0.11974954139266047,0.18024082879915126,0.9535781712350089,0.33460374812332494,1.8755545356211947,1.510295423167931,433,20
Industrial & Scientific,Main BSR,Top Features,Linear Regression,linear,0.09083368016860102,0.060180206950182544,0.18320551466305213,-0.06897479611889801,2.220605234403318,1.7519660321415542,397,20
Industrial & Scientific,Main BSR,Top Features,Ridge,linear,0.09408424672573272,0.060066480508713736,0.1830097069197174,-0.06269996898093533,2.2140782226753566,1.7474370307949503,397,20
Industrial & Scientific,Main BSR,Top Features,Random Forest,nonlinear,0.2768656463969202,0.07930174150076705,0.827406831759094,0.16603906409445202,1.961374299806287,1.5754718920475967,397,20
Industrial & Scientific,Main BSR,Top Features,XGBoost,nonlinear,0.3006042106740856,0.09294601251301494,0.9977611935291244,0.03773574116134393,2.1068557603792524,1.6839190087547782,397,20
Industrial & Scientific,Main BSR,Top Features,LightGBM,nonlinear,0.19602976543179046,0.09447555776535813,0.950651211510809,0.14046745781322112,1.9912179026809158,1.5548325270887275,397,20
Musical Instruments,Main BSR,Top Features,Linear Regression,linear,-0.052933876662851875,0.20065713030819576,0.18470320247879313,-0.12175689728249228,2.3088542919886867,1.8594132001243158,317,20
Musical Instruments,Main BSR,Top Features,Ridge,linear,-0.03877627812895945,0.20325819698658612,0.18456370671922995,-0.11842397839865315,2.3054217530265273,1.8557812973874996,317,20
Musical Instruments,Main BSR,Top Features,Random Forest,nonlinear,-0.04586710575476418,0.1760324195749726,0.7768133846182321,0.020027436350145367,2.1580132672214623,1.730280227100307,317,20
Musical Instruments,Main BSR,Top Features,XGBoost,nonlinear,-0.17579150440829708,0.13840769155317714,0.9963027930789785,-0.21253031611902196,2.4004543693202067,1.9188072615732379,317,20
Musical Instruments,Main BSR,Top Features,LightGBM,nonlinear,-0.14996148951735708,0.09822550277501238,0.9229030718178957,0.003799260499479873,2.1758080629172016,1.7479554928255687,317,20
Home & Kitchen,Main BSR,All Features,Linear Regression,linear,-8.670443398190933,0.47930454310226145,0.7596537112020768,-1.1730144407733825,3.255925815842244,2.513426623079254,3771,7581
Home & Kitchen,Main BSR,All Features,Ridge,linear,-6.448989248665612,0.4453541886244814,0.7596016383567407,-1.1543348685101225,3.2419013877748073,2.5008685738106085,3771,7581
Home & Kitchen,Main BSR,All Features,Random Forest,nonlinear,0.1668497065186888,0.010896010626054503,0.8038410995802215,0.1990518310597419,1.976721115359793,1.5359747363368839,3771,7581
Home & Kitchen,Main BSR,All Features,XGBoost,nonlinear,0.23629764952633384,0.0061273611110387125,0.8307466364964143,0.2573355824238157,1.903441366070697,1.446221191840262,3771,7581
Home & Kitchen,Main BSR,All Features,LightGBM,nonlinear,0.27260653590529416,0.023425575322443503,0.8538884522882911,0.24782111620284752,1.9155953033323803,1.4526176378082498,3771,7581
Health & Household,Main BSR,All Features,Linear Regression,linear,-35.56814215710171,18.509110221937416,0.781305262206755,-0.8953521446029222,2.798217826890459,2.1317752851771608,3669,7581
Health & Household,Main BSR,All Features,Ridge,linear,-10.507821274937397,2.4454408736437263,0.7796973552317705,-0.8925994492296281,2.79618510699897,2.12847302526859,3669,7581
Health & Household,Main BSR,All Features,Random Forest,nonlinear,0.22175515227918483,0.006813280921657545,0.8393884637334127,0.2950474249600782,1.7065401647523029,1.3021962261701006,3669,7581
Health & Household,Main BSR,All Features,XGBoost,nonlinear,0.2766374113527595,0.006635813949380138,0.882895407850347,0.3496608082434932,1.6391040637976595,1.2406421586158078,3669,7581
