feature,|r_main_pearson|,|r_lowest_pearson|,|r_main_spearman|,|r_lowest_spearman|,MI_main,MI_lowest,composite_score
blur_score_mean,0.01667705350670378,1.578052727905675e-05,0.05490686718790783,0.009293380940041715,0.020116890544667143,0.014334002195909079,0.19803683864776425
det_secondary_objects_count_mean,0.029650818384489144,0.0008587653847224701,0.04927953372176657,0.018349043968658905,0.013334409759194976,0.009927729475745384,0.18599294464821048
border_clutter_score_mean,0.012355140042141968,0.011470157008400726,0.0028584075672842472,0.017727771847247092,0.02647154353016301,0.008997000909443997,0.16552059049753617
edge_density_mean,0.0465948510897896,0.0020252172293744315,0.02959657490681822,0.002425847520462559,0.020197043754821564,0.008807187855109255,0.16351339568788167
det_has_person_mean,0.035867165609539176,0.01130689175397031,0.028406206824209423,0.017597038262220734,0.014617864537048941,0.003762885145115913,0.16164486600507638
ocr_allcaps_ratio_mean,0.015477469131455254,0.01818409934644664,0.028401271230846736,0.02209233634768519,0.004157153818155512,0.004061725102689984,0.1402023557589513
saliency_peak_ratio_mean,0.025928951842650375,0.004948322091973131,0.015913862830218627,8.312413099858458e-06,0.021360181485370333,0.009704393257520927,0.1381076688342828
text_overlay_area_proxy_mean,0.022453799666826816,0.006584613211125655,0.029693687987646926,0.022116836658461193,0.006668954779462055,0.0,0.1163923182107486
object_occupancy_proxy_mean,0.0037047608897177904,0.0013914770620999215,0.005264114088007657,0.0006272439155326743,0.010488490536626927,0.017629096993787563,0.11067177595721371
ocr_word_count_mean,0.0178466715310562,0.007938628150150548,0.028955648199140985,0.023131060925132146,0.003863929795572929,2.2571935866633197e-05,0.10915272999296133
ocr_char_count_mean,0.013773898716749654,0.010175631240780247,0.007690518116518374,0.009609848915596337,0.013208855557844679,0.0036526095832059013,0.09964668956550977
ocr_has_claims_mean,0.008737553226010015,0.016955694544171267,0.008476186554465989,0.019299495353567727,0.0005704438558955527,0.0,0.0794257926421108
ocr_num_count_mean,0.02298564851971239,0.0026391462804555505,0.022175591898306948,0.004607957077221092,0.002778764874832307,0.002092281857891898,0.06925300437589987
det_has_hand_mean,,,,,0.0,0.0023852238819408456,0.030963702821387825
num_images,,,,,0.0,0.0012654474012951944,0.01642736246541307
ocr_has_units_mean,0.003480261545665886,0.0010105873815832898,0.00020226955566701765,0.0023382697803707077,0.0,0.0006032414157313148,0.008623565866687352
det_has_face_mean,,,,,0.0,4.875619019495403e-05,0.0006329268272591696
dominant_color_count_mean,,,,,0.0,0.0,0.0
